time,Open,High,Low,Close,Volume,returns,volatility,price,quote_qty,is_buyer_maker,quote_qty_cal,Short_MA_6,Long_MA_13,MACD_613,Signal_Line_4,MACD_Oscillator613,Short_MA_12,Long_MA_26,MACD_1226,Signal_Line_9,MACD_Oscillator1226,atr,highest_high,lowest_low,%K,%D,upper_band,lower_band
2023-01-01 0:00,16537.5,16540.9,16504,16527,5381.399,,,16524.52574,7264.129209,16494,88925066.3,16527,16527,0,0,0,16527,16527,0,0,0,36.9,,,,,,
2023-01-01 1:00,16527.1,16554.3,16524.1,16550.4,3210.826,0.001415865,,16537.21599,6819.889969,8705,53098123.05,16533.68571,16530.34286,3.342857143,1.337142857,2.005714286,16530.6,16528.73333,1.866666667,0.373333333,1.493333333,33.55,,,,,,
2023-01-01 2:00,16550.5,16557.1,16534.8,16542.4,2399.668,-0.000483372,,16545.81814,6030.420093,8468,39704470.32,16536.17551,16532.06531,4.110204082,2.446367347,1.663836735,16532.41538,16529.74568,2.669705603,0.832607787,1.837097816,29.8,,,,,,
2023-01-01 3:00,16542.5,16542.5,16515,16529.3,3214.48,-0.000791904,,16525.58208,7003.352799,10007,53121153.1,16534.21108,16531.67026,2.540816327,2.484146939,0.056669388,16531.93609,16529.71267,2.223428922,1.110772014,1.112656908,29.225,,,,,,
2023-01-01 4:00,16529.2,16530.4,16508.8,16517.8,3150.954,-0.000695734,,16518.28642,7378.899423,9476,52048360.67,16529.5222,16529.6888,-0.166597251,1.423849263,-1.590446514,16529.76131,16528.83025,0.931064812,1.074830574,-0.143765762,27.7,,,,,,
2023-01-01 5:00,16517.8,16531.1,16508,16525.7,3268.293,0.000478272,,16515.80731,6803.091505,7363,53978497.42,16528.43014,16529.11897,-0.688826084,0.578779124,-1.267605208,16529.13649,16528.59838,0.538117832,0.967488026,-0.429370193,26.93333333,,,,,,
2023-01-01 6:00,16525.6,16545.7,16525.6,16535.3,2726.582,0.000580913,,16537.22826,6703.71543,7858,45090108.9,16530.39296,16530.00197,0.390985899,0.503661834,-0.112675935,16530.08473,16529.09479,0.989932959,0.971977012,0.017955947,25.95714286,,,,,,
2023-01-01 7:00,16535.3,16537.5,16488,16519.6,8852.672,-0.000949484,,16511.34548,23386.59636,17550,146169525.8,16527.30926,16528.51598,-1.206720475,-0.18049109,-1.026229385,16528.47169,16528.39147,0.080216229,0.793624856,-0.713408626,28.9,,,,,,
2023-01-01 8:00,16519.5,16524.9,16502,16504.2,3289.761,-0.000932226,,16511.49849,7342.299092,10554,54318883.78,16520.70661,16525.04227,-4.335654154,-1.842556315,-2.493097838,16524.73758,16526.59951,-1.861928972,0.26251409,-2.124443062,28.23333333,,,,,,
2023-01-01 9:00,16504.3,16536.1,16496.8,16532.7,3948.702,0.001726833,,16514.71914,6954.212049,10435,65211704.5,16524.13329,16526.13623,-2.002933787,-1.906707304,-0.096226483,16525.96257,16527.0514,-1.088829867,-0.007754701,-1.081075166,29.34,,,,,,
2023-01-01 10:00,16532.7,16542.9,16527.3,16542.8,4110.425,0.00061091,,16534.4616,9734.729515,9514,67963664.34,16529.46664,16528.51677,0.949871898,-0.764075623,1.713947521,16528.55295,16528.21796,0.334980883,0.060792415,0.274188467,28.09090909,,,,,,
2023-01-01 11:00,16542.9,16549.8,16535.1,16549.8,3768.388,0.000423145,,16542.77876,7264.26169,9353,62339608.98,16535.27617,16531.55723,3.718941831,1.029131359,2.689810473,16531.82172,16529.81663,2.005089238,0.44965178,1.555437458,26.975,,,,,,
2023-01-01 12:00,16549.8,16565.9,16542.9,16553.9,5482.001,0.000247737,,16552.93632,8037.431129,13766,90743213.43,16540.59726,16534.74905,5.848211512,2.95676342,2.891448092,16535.21838,16531.60059,3.617794197,1.083280263,2.534513934,26.66923077,,,,,,
2023-01-01 13:00,16553.8,16559.8,16530.5,16539.9,4505.256,-0.000845722,,16542.41816,7747.920966,12901,74527828.69,16540.39805,16535.4849,4.9131435,3.739315452,1.173828048,16535.93863,16532.21536,3.723271938,1.611278598,2.11199334,26.85714286,16565.9,16488,66.62387677,,,
2023-01-01 14:00,16539.9,16549.7,16533.1,16533.1,2448.444,-0.000411127,,16542.79556,6376.241911,8740,40504108.52,16538.31289,16535.1442,3.168687839,3.511064407,-0.342376568,16535.50192,16532.28089,3.221030601,1.933228999,1.287801603,25.40714286,16565.9,16488,57.89473684,,,
2023-01-01 15:00,16533.2,16553.1,16524.6,16553.1,3107.183,0.001209694,,16537.3227,7061.724711,8365,51384487.97,16542.53778,16537.70932,4.828462421,4.038023612,0.790438808,16538.20931,16533.82304,4.386271371,2.423837473,1.962433898,25.28571429,16565.9,16488,83.56867779,69.36243047,,
2023-01-01 16:00,16553,16579,16552.6,16556,7482.092,0.000175194,,16562.54126,9003.816097,16996,123922457.5,16546.38413,16540.32227,6.061856556,4.84755679,1.214299766,16540.94634,16535.46578,5.480562329,3.035182444,2.445379884,25.57857143,16579,16488,74.72527473,72.06289645,,
2023-01-01 17:00,16556.1,16589.4,16555.5,16573.1,6126.892,0.001032858,,16573.74358,9191.904378,15136,101545537,16554.01723,16545.0048,9.012430248,6.513506173,2.498924075,16545.89306,16538.2535,7.639558808,3.956057717,3.68350109,26.03571429,16589.4,16488,83.92504931,80.73966728,,
2023-01-01 18:00,16573.1,16597,16573,16584.3,4955.635,0.000675794,,16586.70683,7771.103217,13328,82197664.91,16562.66945,16550.6184,12.05104964,8.72852356,3.322526081,16551.80182,16541.66435,10.13746706,5.192339586,4.945127474,26.20714286,16597,16488,88.34862385,82.33298263,,
