time,Open,High,Low,Close,Volume,returns,volatility,price,quote_qty,is_buyer_maker,quote_qty_cal
2023-01-01 0:00,16537.5,16540.9,16504,16527,5381.399,,,16524.52574,7264.129209,16494,88925066.3
2023-01-01 1:00,16527.1,16554.3,16524.1,16550.4,3210.826,0.001415865,,16537.21599,6819.889969,8705,53098123.05
2023-01-01 2:00,16550.5,16557.1,16534.8,16542.4,2399.668,-0.000483372,,16545.81814,6030.420093,8468,39704470.32
2023-01-01 3:00,16542.5,16542.5,16515,16529.3,3214.48,-0.000791904,,16525.58208,7003.352799,10007,53121153.1
2023-01-01 4:00,16529.2,16530.4,16508.8,16517.8,3150.954,-0.000695734,,16518.28642,7378.899423,9476,52048360.67
2023-01-01 5:00,16517.8,16531.1,16508,16525.7,3268.293,0.000478272,,16515.80731,6803.091505,7363,53978497.42
2023-01-01 6:00,16525.6,16545.7,16525.6,16535.3,2726.582,0.000580913,,16537.22826,6703.71543,7858,45090108.9
2023-01-01 7:00,16535.3,16537.5,16488,16519.6,8852.672,-0.000949484,,16511.34548,23386.59636,17550,146169525.8
2023-01-01 8:00,16519.5,16524.9,16502,16504.2,3289.761,-0.000932226,,16511.49849,7342.299092,10554,54318883.78
2023-01-01 9:00,16504.3,16536.1,16496.8,16532.7,3948.702,0.001726833,,16514.71914,6954.212049,10435,65211704.5
2023-01-01 10:00,16532.7,16542.9,16527.3,16542.8,4110.425,0.00061091,,16534.4616,9734.729515,9514,67963664.34
2023-01-01 11:00,16542.9,16549.8,16535.1,16549.8,3768.388,0.000423145,,16542.77876,7264.26169,9353,62339608.98
2023-01-01 12:00,16549.8,16565.9,16542.9,16553.9,5482.001,0.000247737,,16552.93632,8037.431129,13766,90743213.43
2023-01-01 13:00,16553.8,16559.8,16530.5,16539.9,4505.256,-0.000845722,,16542.41816,7747.920966,12901,74527828.69
2023-01-01 14:00,16539.9,16549.7,16533.1,16533.1,2448.444,-0.000411127,,16542.79556,6376.241911,8740,40504108.52
2023-01-01 15:00,16533.2,16553.1,16524.6,16553.1,3107.183,0.001209694,,16537.3227,7061.724711,8365,51384487.97
2023-01-01 16:00,16553,16579,16552.6,16556,7482.092,0.000175194,,16562.54126,9003.816097,16996,123922457.5
2023-01-01 17:00,16556.1,16589.4,16555.5,16573.1,6126.892,0.001032858,,16573.74358,9191.904378,15136,101545537
2023-01-01 18:00,16573.1,16597,16573,16584.3,4955.635,0.000675794,,16586.70683,7771.103217,13328,82197664.91
2023-01-01 19:00,16584.3,16615.8,16584.2,16596.1,7406.797,0.000711516,,16602.62865,8676.754998,18011,122972300.1
2023-01-01 20:00,16596.1,16618.8,16592,16593.8,4951.995,-0.000138587,0.000823753,16604.57897,7755.192178,15436,82225792.03
2023-01-01 21:00,16593.7,16599.7,16584.1,16597.6,3040.626,0.000229001,0.000772886,16592.67851,5988.572184,10807,50452129.68
2023-01-01 22:00,16597.6,16605.4,16579.1,16594.4,3633.682,-0.000192799,0.000763168,16591.70551,7402.187094,11318,60288981.66
2023-01-01 23:00,16594.4,16617.4,16594.4,16610.3,5040.212,0.000958155,0.000748811,16604.73118,8303.054581,13189,83691365.36
2023-01-02 0:00,16610.4,16618.4,16572.9,16578,5774.202,-0.001944577,0.000873113,16592.87011,7729.667724,18099,95810583.8
2023-01-02 1:00,16578,16579.3,16541.2,16556.5,9532.229,-0.0012969,0.000929827,16557.06206,9677.710324,22568,157825707.1
2023-01-02 2:00,16556.5,16587.1,16547.5,16580.4,3292.203,0.001443542,0.000972647,16570.32206,8052.177876,8044,54552863.98
2023-01-02 3:00,16580.4,16700.7,16575,16654.6,18043.112,0.004475163,0.001340591,16646.4603,10670.91016,28869,300353947.6
